Legend,Quartz,Plagioclase,Orthoclase,Muscovite,Biotite,Chlorite,Apatite,Pyroxene/Amphibole,Garnet,Epidote,Tourmaline,Other Silicates,Zircon,Titanite,Rutile,Ilmenite,Chromite,Fe oxides,Other oxides,Sulfides,Sulfates,Olivene,Other REE Minerals,Carbonates,Clay Minerals,Other Minerals,[Unclassified],Biotite-Ti,Clinochlore,Ankerite+clay
CC-17-1 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Silicates,2.48,3.38,2.53,1.48,1.08,1.08,2.48,1.23,3.28,3.80,5.18,----,2.53,2.40,1.42,0.85,0.00,0.60,1.83,0.00,0.00,0.32,1.24,4.34,2.56,0.00,3.26,1.45,0.62,2.80
Zircon,0.07,0.03,0.03,0.02,0.03,0.02,0.12,0.02,0.03,0.01,0.02,0.02,----,0.00,0.14,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.03,0.03,0.01,0.06
Titanite,0.09,0.11,0.07,0.03,0.17,0.17,0.37,0.42,0.15,0.12,0.14,0.20,0.00,----,7.90,1.14,0.00,0.29,3.46,0.00,0.00,0.01,1.42,0.22,0.07,0.00,0.23,0.26,0.18,0.37
Rutile,0.62,0.47,0.45,0.61,0.91,1.11,0.96,0.70,0.38,0.44,0.68,0.38,1.85,29.40,----,24.65,0.00,1.37,32.48,0.00,0.00,0.54,5.54,0.46,0.52,0.00,0.46,0.73,0.82,0.44
Ilmenite,0.06,0.03,0.03,0.02,0.05,0.27,0.19,0.04,0.05,0.02,0.03,0.02,0.00,0.35,4.87,----,0.00,1.28,2.62,0.00,0.00,0.26,0.18,0.05,0.06,0.00,0.03,0.12,0.13,0.00
Chromite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fe oxides,0.65,0.44,0.37,0.17,2.20,5.16,1.82,1.34,0.62,0.20,0.64,0.23,0.46,0.58,1.53,6.98,0.00,----,0.67,0.00,0.00,12.55,0.24,0.24,0.84,0.00,0.62,1.67,1.18,0.34
Other oxides,0.06,0.04,0.04,0.03,0.05,0.05,0.15,0.13,0.07,0.11,0.09,0.07,0.00,2.41,7.17,5.02,0.00,0.08,----,0.00,0.00,0.02,2.19,0.16,0.02,0.00,0.10,0.09,0.02,0.10
Sulfides,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sulfates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Olivene,0.19,0.14,0.09,0.05,0.25,0.52,0.11,0.54,0.12,0.05,0.09,0.03,0.00,0.00,0.09,0.27,0.00,2.49,0.03,0.00,0.00,----,0.22,0.02,0.15,0.00,0.08,0.26,0.04,0.03
Other REE Minerals,0.02,0.01,0.01,0.00,0.07,0.00,0.02,0.03,0.00,0.06,0.01,0.03,0.00,0.12,0.20,0.05,0.00,0.00,0.28,0.00,0.00,0.03,----,0.01,0.02,0.00,0.01,0.02,0.02,0.01
Carbonates,19.37,13.65,12.38,4.42,12.81,4.82,10.80,11.74,17.83,22.18,9.93,17.59,12.31,18.21,10.76,8.15,0.00,4.05,17.60,14.69,0.00,2.36,5.37,----,5.36,0.00,20.41,13.36,8.84,22.19
Clay Minerals,6.06,7.67,4.20,5.67,7.61,7.38,4.66,4.15,4.72,4.44,7.92,4.44,2.84,2.89,5.95,5.05,0.00,4.44,2.76,4.64,0.00,4.01,6.70,3.54,----,1.26,4.10,7.41,7.41,3.19
Other Minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00
Biotite-Ti,3.87,3.45,2.61,1.95,10.16,7.37,7.12,5.85,3.26,3.84,4.84,2.11,2.87,2.69,3.29,3.49,0.00,7.48,2.85,4.60,0.00,6.57,8.10,4.20,3.51,14.45,3.56,----,5.40,3.30
Clinochlore,0.16,0.25,0.14,0.10,0.31,0.68,0.41,0.25,0.35,0.10,0.14,0.06,0.07,0.09,0.18,0.48,0.00,0.31,0.05,0.00,0.00,0.09,0.52,0.16,0.21,0.00,0.11,0.36,----,0.13
Ankerite+clay,0.19,0.15,0.08,0.03,0.08,0.12,0.12,0.19,0.17,0.60,0.08,0.17,0.31,0.21,0.09,0.00,0.00,0.09,0.09,0.00,0.00,0.04,0.23,0.33,0.05,0.00,0.29,0.16,0.11,----
[Unclassified],18.03,13.88,11.66,6.40,8.06,8.09,8.30,13.99,12.80,17.34,10.81,13.71,9.80,12.52,8.60,4.82,27.27,11.28,10.00,18.86,0.00,6.63,17.17,20.96,8.61,9.13,----,10.86,6.64,17.80
Free particles,0.01,0.02,0.00,0.01,0.01,0.04,0.02,1.19,0.03,0.02,0.05,0.03,0.00,0.02,0.01,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.02,0.05,0.00,0.09,0.04,0.00,0.00
Total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
MN16-07 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,----,31.01,25.70,18.43,24.80,20.95,28.63,30.93,22.12,22.32,18.94,15.11,35.50,22.78,28.32,19.36,10.26,22.53,17.41,23.39,0.00,31.78,20.49,27.17,18.88,100.00,16.73,21.41,21.88,15.37
Plagioclase,47.10,----,55.07,46.23,21.96,28.09,25.42,5.22,37.13,41.73,29.53,25.31,24.41,22.49,14.44,20.40,23.08,20.27,11.17,67.03,0.00,29.46,27.74,13.67,47.02,0.00,28.32,30.60,30.92,15.15
Orthoclase,27.70,30.85,----,15.98,18.94,7.97,14.03,7.11,5.27,8.90,7.81,11.98,11.35,7.03,11.38,10.91,0.00,7.62,5.02,9.58,0.00,8.36,8.00,12.43,12.40,0.00,19.52,11.45,5.48,4.95
Muscovite,3.20,11.10,2.76,----,4.27,1.94,2.21,0.31,2.07,2.88,1.91,0.52,1.65,1.19,3.73,0.70,0.00,1.44,0.00,0.00,0.00,1.55,1.58,0.19,7.32,0.00,4.44,2.11,2.31,0.00
Biotite,1.48,1.05,1.59,1.99,----,2.61,0.65,0.23,1.23,0.93,1.24,1.94,0.49,0.95,0.55,2.00,15.38,3.40,0.00,0.00,0.00,4.50,0.51,1.66,1.70,0.00,0.68,4.35,1.30,0.87
Chlorite,0.60,0.64,0.26,0.31,1.65,----,0.57,0.10,3.22,0.63,2.11,1.50,7.65,0.80,0.80,1.48,0.00,2.82,0.00,0.00,0.00,2.41,0.00,0.21,0.51,0.00,0.31,3.92,4.32,3.98
Apatite,0.31,0.31,0.17,0.32,0.14,0.39,----,0.07,0.39,0.84,0.00,15.04,0.00,0.60,0.61,1.89,0.00,0.16,0.00,0.00,0.00,0.21,0.92,0.00,0.17,0.00,0.18,0.50,0.17,2.03
Pyroxene/Amphibole,0.94,0.17,0.25,0.04,0.19,1.03,1.02,----,0.43,0.85,0.59,0.34,0.00,2.16,0.30,0.49,0.00,0.85,1.86,0.00,0.00,0.61,0.10,2.41,0.27,0.00,9.95,0.63,0.58,3.00
Garnet,0.34,0.66,0.12,0.28,0.42,2.08,0.67,0.08,----,0.99,3.13,0.64,0.04,0.59,0.29,0.22,0.00,2.12,2.67,0.00,0.00,0.65,0.00,0.00,0.47,0.00,0.25,1.35,2.52,0.47
Epidote,2.93,5.88,1.81,2.78,2.46,4.44,9.09,0.79,7.33,----,12.08,5.29,2.05,13.72,3.14,1.18,0.00,1.94,2.96,0.00,0.00,2.69,18.02,0.00,2.56,0.00,2.82,5.54,5.49,30.09
Tourmaline,0.05,0.14,0.03,0.09,0.04,0.12,0.00,0.01,0.31,0.38,----,0.40,0.00,0.07,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.06,0.25,0.20,0.00
Other Silicates,0.02,0.02,0.01,0.01,0.05,0.32,1.78,0.00,0.09,0.06,0.18,----,0.00,0.06,0.03,0.35,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.02,0.00,0.01,0.10,0.01,0.30
Zircon,0.08,0.03,0.02,0.01,0.01,0.12,0.00,0.00,0.00,0.02,0.00,0.00,----,0.00,0.00,0.04,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.01,0.00,0.15
Titanite,0.33,0.27,0.15,0.12,0.36,0.91,1.07,0.15,0.59,1.99,0.18,1.62,0.00,----,12.70,8.16,0.00,0.84,14.35,0.00,0.00,0.00,1.94,0.98,0.19,0.00,0.32,0.55,1.74,10.31
Rutile,0.58,0.20,0.19,0.60,0.22,0.80,0.41,0.07,0.36,0.45,0.16,0.45,0.00,7.75,----,14.82,0.00,3.47,0.00,0.00,0.00,0.00,4.24,0.00,0.20,0.00,0.25,0.31,0.61,0.59
Ilmenite,0.20,0.08,0.09,0.09,0.28,0.48,0.37,0.03,0.24,0.04,0.00,0.52,0.27,2.05,9.21,----,0.00,11.63,1.24,0.00,0.00,0.11,0.75,0.00,0.07,0.00,0.07,0.28,0.20,1.16
Chromite,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fe oxides,0.19,0.11,0.06,0.12,0.48,0.77,0.11,0.09,2.29,0.05,0.00,0.00,0.87,0.23,0.35,5.07,0.00,----,1.33,0.00,0.00,2.26,0.00,0.00,0.21,0.00,0.14,0.35,0.21,0.38
Other oxides,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.27,0.00,0.00,0.00,0.00,0.96,0.00,0.04,0.00,0.06,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00
Sulfides,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sulfates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Olivene,0.10,0.06,0.02,0.01,0.18,0.33,0.01,0.02,0.04,0.03,0.00,0.20,0.00,0.00,0.00,0.03,0.00,0.53,0.00,0.00,0.00,----,0.00,0.00,0.07,0.00,0.01,0.13,0.07,0.00
Other REE Minerals,0.02,0.02,0.01,0.01,0.01,0.00,0.03,0.00,0.00,0.07,0.00,0.00,0.00,0.23,0.67,0.17,0.00,0.00,0.00,0.00,0.00,0.00,----,1.50,0.02,0.00,0.03,0.00,0.00,0.00
Carbonates,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.63,----,0.00,0.00,0.01,0.00,0.00,0.00
Clay Minerals,6.99,8.41,4.14,6.13,10.00,8.25,6.56,1.36,6.24,7.29,8.25,7.19,7.06,7.43,8.68,6.28,42.31,4.88,0.00,0.00,0.00,7.86,4.45,4.31,----,0.00,4.11,10.58,9.34,5.06
Other Minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00
Biotite-Ti,2.66,3.07,1.46,1.61,10.27,12.66,2.73,0.55,5.47,4.86,10.38,6.02,2.93,3.31,1.35,3.10,0.00,5.52,0.00,0.00,0.00,4.65,0.28,0.00,2.77,0.00,1.46,----,9.64,5.66
Clinochlore,0.17,0.20,0.06,0.13,0.17,1.47,0.11,0.03,0.75,0.31,0.66,0.05,0.00,0.28,0.13,0.41,0.00,0.26,0.00,0.00,0.00,0.32,0.00,0.00,0.27,0.00,0.10,0.74,----,0.08
Ankerite+clay,0.01,0.01,0.01,0.00,0.01,0.20,0.19,0.01,0.02,0.25,0.00,0.18,0.06,0.55,0.03,0.12,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.01,----
[Unclassified],2.97,4.27,5.22,4.14,1.85,1.93,3.26,42.89,2.34,3.47,2.14,1.13,5.67,4.03,2.26,2.01,8.97,5.55,21.90,0.00,0.00,1.33,8.96,9.74,3.12,0.00,----,2.08,1.70,0.39
Free particles,0.99,1.40,0.77,0.56,1.21,2.15,1.09,9.92,1.83,0.64,0.72,4.58,0.00,0.71,0.97,0.77,0.00,3.56,20.09,0.00,100.00,0.98,0.39,25.73,1.62,0.00,10.11,2.71,1.29,0.00
Total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
MN16-08 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,----,9.96,5.44,4.29,9.23,8.56,5.23,15.21,6.47,6.79,3.82,5.36,5.76,5.42,6.41,7.04,0.00,9.06,3.63,0.00,4.20,13.48,6.51,7.07,9.07,32.09,10.52,8.44,8.18,4.86
Plagioclase,40.14,----,61.56,70.00,41.43,44.98,37.50,27.75,49.90,47.05,44.05,28.27,39.35,25.55,26.92,31.93,0.00,28.58,13.14,0.00,51.42,28.14,32.79,26.23,43.42,13.36,32.59,45.67,41.88,25.83
Orthoclase,5.16,18.91,----,6.12,9.62,4.58,4.15,3.22,3.05,3.38,2.62,2.92,4.90,3.17,3.29,3.92,0.00,3.40,3.34,0.00,2.97,2.86,5.36,3.75,4.12,5.74,5.19,5.28,3.93,3.83
Muscovite,0.85,5.26,1.37,----,1.12,0.56,0.52,0.34,0.54,1.54,1.61,0.15,0.42,0.38,0.52,0.43,0.00,0.30,0.16,0.00,0.59,0.42,0.95,0.10,1.58,0.00,0.82,0.64,0.82,0.23
Biotite,3.12,4.21,4.37,2.11,----,2.23,2.27,2.29,1.35,1.89,1.47,1.49,2.24,2.18,1.90,2.95,0.00,2.43,1.70,0.00,1.04,2.17,2.26,0.85,2.16,1.18,1.74,2.74,1.55,2.85
Chlorite,5.59,8.67,3.49,1.87,4.54,----,5.00,5.87,6.38,3.81,5.14,3.63,8.44,4.06,4.02,6.78,0.00,12.66,2.62,0.00,3.28,7.83,4.08,2.86,6.02,0.00,4.37,5.97,6.50,4.42
Apatite,1.24,1.98,0.93,0.43,1.44,1.32,----,1.75,1.64,1.56,0.59,25.49,0.48,1.15,1.00,1.87,0.00,1.82,2.47,0.00,2.37,1.27,3.53,6.34,1.81,0.00,1.66,1.95,1.37,2.78
Pyroxene/Amphibole,12.65,6.32,2.90,1.33,6.37,7.13,7.67,----,5.93,5.41,2.97,6.04,4.88,8.12,7.65,7.12,0.00,8.14,17.36,0.00,5.37,11.64,5.52,12.64,9.09,10.05,20.26,9.72,9.40,9.37
Garnet,1.25,2.81,0.66,0.45,0.70,1.80,1.68,1.18,----,2.27,2.62,1.11,1.18,1.25,0.89,1.01,0.00,1.45,0.10,0.00,0.51,1.34,0.87,2.38,1.47,0.00,0.98,1.18,2.24,1.37
Epidote,2.14,5.07,1.46,2.84,1.89,1.98,2.92,1.91,4.02,----,10.55,1.63,1.48,3.78,3.11,2.00,0.00,1.89,1.29,0.00,2.75,1.72,3.51,2.03,2.44,17.22,2.13,2.84,3.12,5.53
Tourmaline,0.04,0.14,0.03,0.08,0.04,0.07,0.06,0.03,0.13,0.37,----,0.01,0.00,0.02,0.04,0.03,0.00,0.05,0.00,0.00,0.00,0.07,0.53,0.08,0.11,0.00,0.05,0.08,0.36,0.05
Other Silicates,0.10,0.13,0.05,0.01,0.08,0.08,2.23,0.13,0.09,0.10,0.01,----,0.09,0.11,0.09,0.13,0.00,0.06,0.21,0.00,0.00,0.07,0.00,1.07,0.12,0.00,0.14,0.13,0.09,0.11
Zircon,0.03,0.03,0.02,0.00,0.02,0.02,0.01,0.02,0.01,0.01,0.00,0.02,----,0.04,0.03,0.02,0.00,0.02,0.00,0.00,0.00,0.04,0.00,0.00,0.02,0.00,0.05,0.03,0.01,0.03
Titanite,0.61,0.82,0.43,0.19,0.69,0.66,0.65,0.79,0.76,1.32,0.31,0.78,1.52,----,8.82,8.57,0.00,1.19,5.35,0.00,0.29,0.31,4.44,1.30,0.82,0.00,0.81,0.82,1.12,4.69
Rutile,0.40,0.40,0.23,0.14,0.32,0.28,0.34,0.41,0.26,0.48,0.36,0.32,0.65,4.57,----,3.53,0.00,0.86,1.05,0.00,2.28,0.15,8.00,0.70,0.32,0.00,0.40,0.33,0.33,1.95
Ilmenite,1.88,2.19,1.11,0.44,2.47,2.58,2.07,1.89,1.40,1.44,1.05,2.31,2.11,18.44,15.52,----,0.00,3.76,15.88,0.00,0.53,1.14,7.03,2.22,1.84,0.00,1.54,2.31,1.06,9.63
Chromite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fe oxides,1.18,0.91,0.42,0.19,0.98,2.70,1.11,1.29,1.08,0.72,0.49,0.56,0.42,0.96,1.72,1.60,0.00,----,1.15,0.00,1.05,7.40,1.16,0.23,1.63,0.00,1.56,1.40,0.73,1.01
Other oxides,0.02,0.01,0.01,0.00,0.01,0.01,0.06,0.10,0.00,0.01,0.00,0.04,0.00,0.19,0.06,0.22,0.00,0.04,----,0.00,0.00,0.00,0.00,0.23,0.01,0.00,0.21,0.02,0.00,0.04
Sulfides,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sulfates,0.02,0.06,0.02,0.02,0.02,0.02,0.04,0.03,0.01,0.05,0.00,0.00,0.00,0.02,0.18,0.01,0.00,0.02,0.00,0.00,----,0.03,0.48,0.34,0.01,0.00,0.12,0.01,0.00,0.08
Olivene,0.53,0.30,0.11,0.08,0.25,0.50,0.22,0.44,0.28,0.17,0.33,0.15,0.44,0.10,0.10,0.18,0.00,1.65,0.00,0.00,0.16,----,0.00,0.14,0.29,0.00,0.44,0.33,0.28,0.13
Other REE Minerals,0.01,0.02,0.01,0.01,0.03,0.01,0.06,0.01,0.02,0.01,0.05,0.00,0.00,0.08,0.27,0.07,0.00,0.04,0.00,0.00,0.13,0.00,----,0.05,0.01,0.00,0.01,0.01,0.00,0.01
Carbonates,0.07,0.10,0.05,0.01,0.03,0.04,0.65,0.18,0.12,0.06,0.49,0.63,0.00,0.12,0.18,0.10,0.00,0.02,0.76,0.00,1.09,0.05,0.44,----,0.04,0.00,0.51,0.08,0.06,0.27
Clay Minerals,7.82,9.93,4.78,3.40,6.35,6.06,8.04,7.74,5.66,6.35,6.07,5.42,5.32,6.14,5.36,5.19,0.00,4.57,2.33,0.00,1.40,4.09,4.87,3.57,----,4.51,4.77,6.98,7.54,6.04
Other Minerals,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00
Biotite-Ti,10.69,17.29,7.90,4.15,9.83,10.33,13.38,13.35,8.00,11.26,10.66,9.67,11.63,9.44,7.81,11.78,0.00,12.63,5.65,0.00,5.20,10.15,5.12,10.21,10.12,10.87,7.84,----,7.51,11.95
Clinochlore,0.38,0.55,0.18,0.22,0.18,0.49,0.33,0.55,0.56,0.65,2.37,0.29,0.06,0.44,0.36,0.22,0.00,0.27,0.00,0.00,0.00,0.25,0.00,0.17,0.43,0.00,0.20,0.29,----,0.21
Ankerite+clay,0.13,0.17,0.10,0.03,0.25,0.16,0.33,0.24,0.16,0.42,0.18,0.20,0.24,0.95,0.70,0.86,0.00,0.31,0.30,0.00,0.48,0.07,0.29,0.56,0.20,0.00,0.21,0.23,0.13,----
[Unclassified],3.89,3.72,2.31,1.57,2.05,2.75,3.41,12.37,2.12,2.84,2.08,3.44,8.39,3.03,2.70,2.45,0.00,4.78,19.07,0.00,12.88,5.29,2.26,14.90,2.77,4.99,----,2.46,1.80,2.69
Free particles,0.06,0.02,0.02,0.01,0.07,0.10,0.08,0.93,0.07,0.03,0.11,0.10,0.00,0.31,0.34,0.01,0.00,0.01,2.44,0.00,0.00,0.03,0.00,0.00,0.10,0.00,0.87,0.07,0.02,0.06
Total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
MN17-11 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,----,30.57,26.91,24.49,29.91,20.14,15.99,29.90,24.60,19.80,27.07,25.14,30.97,15.36,26.16,25.49,8.33,29.38,6.67,29.85,34.77,34.78,36.04,28.54,23.07,100.00,23.84,28.93,13.04,7.14
Plagioclase,37.68,----,50.32,40.27,22.57,36.92,17.59,7.42,26.85,26.71,14.54,15.21,17.32,25.50,17.34,16.56,0.00,17.18,2.33,22.99,18.87,20.37,18.29,50.12,35.19,0.00,25.67,25.13,30.72,55.71
Orthoclase,22.85,29.07,----,15.49,15.70,6.04,13.94,7.95,6.53,2.89,8.28,8.37,15.59,8.53,15.57,12.30,41.67,10.67,2.23,34.19,13.77,8.13,2.38,4.32,12.80,0.00,11.77,11.63,11.99,0.00
Muscovite,4.09,10.84,3.06,----,2.80,1.52,1.82,0.18,0.97,1.64,0.90,1.26,4.76,2.73,4.01,2.45,0.00,0.72,0.42,0.15,1.34,0.45,1.09,0.00,3.86,0.00,2.47,1.44,3.67,0.00
Biotite,5.42,3.62,4.16,3.88,----,7.48,3.60,1.21,2.20,4.22,1.81,1.95,1.85,5.82,3.38,6.71,0.00,4.64,0.86,0.00,7.28,3.01,2.49,0.00,2.16,0.00,2.32,5.68,4.31,0.00
Chlorite,0.33,0.41,0.14,0.22,1.03,----,0.00,0.29,1.50,0.07,0.31,0.16,0.00,0.65,0.09,0.26,0.00,1.09,0.00,0.00,0.12,0.59,0.45,0.00,0.19,0.00,0.21,1.12,2.00,0.00
Apatite,0.06,0.03,0.02,0.01,0.08,0.00,----,0.00,0.00,0.00,0.00,0.11,0.07,0.00,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.09,8.91,0.02,0.00,0.03,0.01,0.00,0.00
Pyroxene/Amphibole,2.13,0.27,0.42,0.05,0.53,0.51,0.00,----,1.14,0.39,0.64,0.37,0.00,0.92,0.52,0.23,0.00,1.24,14.12,0.00,0.28,2.31,0.90,0.00,0.10,0.00,7.22,1.04,0.07,0.00
Garnet,1.15,1.14,0.38,0.31,0.42,3.39,0.00,0.46,----,2.67,7.07,3.59,0.41,0.70,0.17,0.63,0.00,3.70,0.62,0.58,0.14,4.05,0.00,0.35,0.31,0.00,2.13,3.01,2.70,16.43
Epidote,0.03,0.12,0.02,0.04,0.08,0.01,0.00,0.02,0.09,----,0.06,0.01,0.00,1.09,0.09,0.05,0.00,0.09,0.00,0.00,0.03,0.06,3.37,0.00,0.05,0.00,0.07,0.09,0.11,10.71
Tourmaline,0.75,0.30,0.31,0.12,0.19,0.55,0.00,0.15,4.08,1.01,----,8.35,0.00,0.30,0.26,0.54,0.00,0.79,0.00,0.00,0.21,1.15,0.00,0.00,0.85,0.00,1.17,1.49,0.32,0.00
Other Silicates,0.59,0.24,0.21,0.12,0.27,0.23,3.13,0.10,1.80,0.07,6.64,----,0.00,0.19,0.25,0.78,0.00,0.43,1.03,0.00,0.24,0.55,0.00,0.00,1.22,0.00,0.84,0.78,0.05,0.00
Zircon,0.13,0.03,0.07,0.06,0.01,0.00,0.42,0.00,0.02,0.00,0.00,0.00,----,0.00,0.01,0.13,0.00,0.02,0.00,0.00,0.19,0.01,0.00,0.00,0.02,0.00,0.09,0.03,0.00,0.00
Titanite,0.05,0.06,0.04,0.12,0.29,0.39,0.00,0.07,0.06,1.07,0.05,0.06,0.00,----,1.88,1.52,0.00,0.03,1.79,0.00,0.02,0.00,0.17,0.00,0.06,0.00,0.09,0.08,0.99,0.00
Rutile,0.30,0.18,0.17,0.32,0.39,0.17,0.04,0.13,0.04,0.30,0.05,0.16,0.10,5.09,----,12.13,0.00,0.23,3.50,0.00,0.00,0.05,0.00,0.00,0.22,0.00,0.17,0.06,0.82,0.00
Ilmenite,0.50,0.27,0.36,0.33,1.01,0.22,0.05,0.12,0.22,0.41,0.21,0.47,1.40,5.47,14.70,----,0.00,0.91,13.41,0.00,0.13,0.27,0.83,0.00,0.30,0.00,0.30,0.32,0.08,0.00
Chromite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Fe oxides,0.71,0.38,0.39,0.10,0.61,1.33,0.00,0.39,2.16,1.74,0.74,0.36,0.59,0.22,0.68,1.28,0.00,----,0.00,0.00,0.08,3.11,1.80,0.00,0.11,0.00,1.05,2.38,0.12,0.00
Other oxides,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.01,0.00,0.00,0.01,0.00,0.23,0.07,0.65,0.00,0.00,----,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.00,0.00
Sulfides,0.05,0.04,0.06,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
Sulfates,0.35,0.14,0.21,0.07,0.32,0.07,0.00,0.02,0.07,0.12,0.15,0.08,2.76,0.06,0.00,0.05,0.00,0.02,0.14,0.00,----,0.00,1.06,0.00,0.17,0.00,0.19,0.45,0.04,0.00
Olivene,1.48,0.60,0.37,0.07,0.42,0.74,0.00,0.63,3.01,0.87,1.86,0.89,0.23,0.00,0.14,0.38,0.00,3.54,0.00,0.00,0.01,----,0.00,0.00,0.09,0.00,1.21,2.29,0.00,0.00
Other REE Minerals,0.03,0.01,0.01,0.01,0.02,0.01,0.25,0.00,0.00,0.68,0.00,0.00,0.00,0.06,0.00,0.08,0.00,0.04,0.00,0.00,0.05,0.00,----,0.00,0.00,0.00,0.04,0.01,0.02,0.00
Carbonates,0.02,0.01,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00
